week,sov_honda,mentions_total,mentions_google_reviews_x,mentions_instagram_x,mentions_youtube_x,views_sum,reviews,avg_rating,pos_share,product_cover_share,mentions_google_reviews_y,mentions_instagram_y,mentions_youtube_y,pos_share_google_reviews,pos_share_instagram,pos_share_youtube,neg_share_google_reviews,neg_share_instagram,neg_share_youtube,sent_mean_google_reviews,sent_mean_instagram,sent_mean_youtube,score_mean_google_reviews,score_mean_instagram,score_mean_youtube,score_mean_z_google_reviews,score_mean_z_instagram,score_mean_z_youtube
2013-06-24,,1,0.0,1.0,0.0,,,,,,,1,,,0.0,,,0.0,,,0.0,,,0.0,,,-1.4687467483699626,
2013-07-08,,1,0.0,1.0,0.0,,,,,,,1,,,0.0,,,0.0,,,0.0,,,0.0,,,-1.4687467483699626,
2013-08-05,,1,0.0,1.0,0.0,,,,,,,1,,,1.0,,,0.0,,,1.0,,,1.0,,,3.0310410303024633,
2013-09-02,,1,0.0,1.0,0.0,,,,,,,1,,,0.0,,,0.0,,,0.0,,,0.0,,,-1.4687467483699626,
2014-02-17,,1,0.0,1.0,0.0,,,,,,,1,,,0.0,,,0.0,,,0.0,,,0.0,,,-1.4687467483699626,
2014-04-28,,1,0.0,1.0,0.0,,,,,,,1,,,0.0,,,0.0,,,0.0,,,0.0,,,-1.4687467483699626,
2014-08-25,,1,0.0,1.0,0.0,,,,,,,1,,,0.0,,,0.0,,,0.0,,,0.0,,,-1.4687467483699626,
2014-10-13,,1,0.0,1.0,0.0,,,,,,,1,,,0.0,,,0.0,,,0.0,,,0.0,,,-1.4687467483699626,
2015-03-30,,1,0.0,1.0,0.0,,,,,,,1,,,0.0,,,0.0,,,0.0,,,0.0,,,-1.4687467483699626,
2015-04-06,1.0,2,0.0,2.0,0.0,,,,,1.0,,2,,,0.0,,,0.0,,,0.0,,,0.0,,,-1.4687467483699626,
2015-05-04,,2,0.0,2.0,0.0,,,,,,,2,,,0.0,,,0.0,,,0.0,,,0.0,,,-1.4687467483699626,
2015-06-08,,1,0.0,1.0,0.0,,,,,,,1,,,0.0,,,0.0,,,0.0,,,0.0,,,-1.4687467483699626,
2015-06-29,,1,0.0,1.0,0.0,,,,,,,1,,,0.0,,,0.0,,,0.0,,,0.0,,,-1.4687467483699626,
2015-07-06,,1,0.0,1.0,0.0,,,,,,,1,,,0.0,,,0.0,,,0.0,,,0.0,,,-1.4687467483699626,
2015-07-27,,1,0.0,1.0,0.0,,,,,,,1,,,0.0,,,0.0,,,0.0,,,0.0,,,-1.4687467483699626,
2015-08-10,,1,0.0,1.0,0.0,,,,,,,1,,,0.0,,,0.0,,,0.0,,,0.0,,,-1.4687467483699626,
2015-10-05,,1,0.0,1.0,0.0,,,,,,,1,,,0.0,,,0.0,,,0.0,,,0.0,,,-1.4687467483699626,
2015-10-12,,1,0.0,1.0,0.0,,,,,,,1,,,0.0,,,0.0,,,0.0,,,0.0,,,-1.4687467483699626,
2015-11-09,,1,0.0,1.0,0.0,,,,,,,1,,,1.0,,,0.0,,,1.0,,,1.0,,,3.0310410303024633,
2015-11-16,,1,0.0,1.0,0.0,,,,,,,1,,,0.0,,,0.0,,,0.0,,,0.0,,,-1.4687467483699626,
2015-11-30,,1,0.0,1.0,0.0,,,,,,,1,,,0.0,,,0.0,,,0.0,,,0.0,,,-1.4687467483699626,
2015-12-21,,1,0.0,1.0,0.0,,,,,,,1,,,0.0,,,0.0,,,0.0,,,0.0,,,-1.4687467483699626,
2015-12-28,,1,0.0,1.0,0.0,,,,,,,1,,,1.0,,,0.0,,,1.0,,,1.0,,,3.0310410303024633,
2016-01-04,,2,0.0,2.0,0.0,,,,,,,2,,,0.0,,,0.0,,,0.0,,,0.0,,,-1.4687467483699626,
2016-01-11,,1,0.0,1.0,0.0,,,,,,,1,,,0.0,,,0.0,,,0.0,,,0.0,,,-1.4687467483699626,
2016-01-18,,1,0.0,1.0,0.0,,,,,,,1,,,0.0,,,0.0,,,0.0,,,0.0,,,-1.4687467483699626,
2016-02-01,,1,0.0,1.0,0.0,,,,,,,1,,,1.0,,,0.0,,,1.0,,,1.0,,,3.0310410303024633,
2016-02-08,,1,0.0,1.0,0.0,,,,,,,1,,,0.0,,,0.0,,,0.0,,,0.0,,,-1.4687467483699626,
2016-02-22,1.0,2,0.0,2.0,0.0,,,,,0.0,,2,,,0.0,,,0.0,,,0.0,,,0.0,,,-1.4687467483699626,
2016-02-29,,1,0.0,1.0,0.0,,,,,,,1,,,0.0,,,0.0,,,0.0,,,0.0,,,-1.4687467483699626,
2016-03-21,1.0,4,0.0,4.0,0.0,,,,,1.0,,4,,,0.25,,,0.0,,,0.25,,,0.25,,,-0.34379980370185603,
2016-05-02,1.0,2,0.0,2.0,0.0,,,,,1.0,,2,,,0.5,,,0.0,,,0.5,,,0.5,,,0.7811471409662505,
2016-06-13,1.0,1,0.0,1.0,0.0,,,,,1.0,,1,,,0.0,,,0.0,,,0.0,,,0.0,,,-1.4687467483699626,
2016-07-04,,1,0.0,1.0,0.0,,,,,,,1,,,0.0,,,0.0,,,0.0,,,0.0,,,-1.4687467483699626,
2016-07-18,,1,0.0,1.0,0.0,,,,,,,1,,,0.0,,,0.0,,,0.0,,,0.0,,,-1.4687467483699626,
2016-08-01,1.0,1,0.0,1.0,0.0,,,,,1.0,,1,,,0.0,,,0.0,,,0.0,,,0.0,,,-1.4687467483699626,
2016-08-08,,1,0.0,1.0,0.0,,,,,,,1,,,0.0,,,0.0,,,0.0,,,0.0,,,-1.4687467483699626,
2016-08-15,1.0,2,0.0,2.0,0.0,,,,,1.0,,2,,,0.0,,,0.0,,,0.0,,,0.0,,,-1.4687467483699626,
2016-08-22,,3,0.0,3.0,0.0,,,,,,,3,,,0.6666666666666666,,,0.0,,,0.6666666666666666,,,0.6666666666666666,,,1.531111770744988,
2016-08-29,,8,0.0,8.0,0.0,,,,,,,8,,,0.0,,,0.0,,,0.0,,,0.0,,,-1.4687467483699626,
2016-09-05,,7,0.0,7.0,0.0,,,,,,,7,,,0.14285714285714285,,,0.0,,,0.14285714285714285,,,0.14285714285714285,,,-0.8259199228453302,
2016-09-12,1.0,5,0.0,5.0,0.0,,,,,1.0,,5,,,0.2,,,0.0,,,0.2,,,0.2,,,-0.5687891926354772,
