week,sov_honda,mentions_total,mentions_google_reviews,mentions_instagram,mentions_youtube,views_sum,reviews,avg_rating,pos_share,product_cover_share
2013-06-24,,1,0.0,1.0,0.0,,,,,
2013-07-08,,1,0.0,1.0,0.0,,,,,
2013-08-05,,1,0.0,1.0,0.0,,,,,
2013-09-02,,1,0.0,1.0,0.0,,,,,
2014-02-17,,1,0.0,1.0,0.0,,,,,
2014-04-28,,1,0.0,1.0,0.0,,,,,
2014-08-25,,1,0.0,1.0,0.0,,,,,
2014-10-13,,1,0.0,1.0,0.0,,,,,
2015-03-30,,1,0.0,1.0,0.0,,,,,
2015-04-06,1.0,2,0.0,2.0,0.0,,,,,1.0
2015-05-04,,2,0.0,2.0,0.0,,,,,
2015-06-08,,1,0.0,1.0,0.0,,,,,
2015-06-29,,1,0.0,1.0,0.0,,,,,
2015-07-06,,1,0.0,1.0,0.0,,,,,
2015-07-27,,1,0.0,1.0,0.0,,,,,
2015-08-10,,1,0.0,1.0,0.0,,,,,
2015-10-05,,1,0.0,1.0,0.0,,,,,
2015-10-12,,1,0.0,1.0,0.0,,,,,
2015-11-09,,1,0.0,1.0,0.0,,,,,
2015-11-16,,1,0.0,1.0,0.0,,,,,
2015-11-30,,1,0.0,1.0,0.0,,,,,
2015-12-21,,1,0.0,1.0,0.0,,,,,
2015-12-28,,1,0.0,1.0,0.0,,,,,
2016-01-04,,2,0.0,2.0,0.0,,,,,
2016-01-11,,1,0.0,1.0,0.0,,,,,
2016-01-18,,1,0.0,1.0,0.0,,,,,
2016-02-01,,1,0.0,1.0,0.0,,,,,
2016-02-08,,1,0.0,1.0,0.0,,,,,
2016-02-22,1.0,2,0.0,2.0,0.0,,,,,0.0
2016-02-29,,1,0.0,1.0,0.0,,,,,
2016-03-21,1.0,4,0.0,4.0,0.0,,,,,1.0
2016-05-02,1.0,2,0.0,2.0,0.0,,,,,1.0
2016-06-13,1.0,1,0.0,1.0,0.0,,,,,1.0
2016-07-04,,1,0.0,1.0,0.0,,,,,
2016-07-18,,1,0.0,1.0,0.0,,,,,
2016-08-01,1.0,1,0.0,1.0,0.0,,,,,1.0
2016-08-08,,1,0.0,1.0,0.0,,,,,
2016-08-15,1.0,2,0.0,2.0,0.0,,,,,1.0
2016-08-22,,3,0.0,3.0,0.0,,,,,
2016-08-29,,8,0.0,8.0,0.0,,,,,
2016-09-05,,7,0.0,7.0,0.0,,,,,
2016-09-12,1.0,5,0.0,5.0,0.0,,,,,1.0
2016-09-19,,3,0.0,3.0,0.0,,,,,
2016-09-26,,6,0.0,6.0,0.0,,,,,
2016-10-03,,10,0.0,10.0,0.0,,,,,
2016-10-10,,2,0.0,2.0,0.0,,,,,
2016-10-17,,2,0.0,2.0,0.0,,,,,
2016-10-24,,2,0.0,2.0,0.0,,,,,
2016-11-07,,4,0.0,4.0,0.0,,,,,
2016-11-14,,3,0.0,3.0,0.0,,,,,
2016-11-28,,2,0.0,2.0,0.0,,,,,
2016-12-05,,3,0.0,3.0,0.0,,,,,
2016-12-12,,2,0.0,2.0,0.0,,,,,
2016-12-26,,2,0.0,2.0,0.0,,,,,
2017-01-23,,2,0.0,2.0,0.0,,,,,
2017-02-20,,3,0.0,3.0,0.0,,,,,
2017-03-06,,4,0.0,4.0,0.0,,,,,
2017-03-13,1.0,1,0.0,1.0,0.0,,,,,1.0
2017-03-27,1.0,8,0.0,8.0,0.0,,,,,1.0
2017-04-03,1.0,8,0.0,8.0,0.0,,,,,1.0
2017-04-17,1.0,2,0.0,2.0,0.0,,,,,1.0
2017-04-24,1.0,3,0.0,3.0,0.0,,,,,0.0
2017-05-01,,3,0.0,3.0,0.0,,,,,
2017-05-15,,1,0.0,1.0,0.0,,,,,
2017-05-22,,3,0.0,3.0,0.0,,,,,
2017-05-29,,2,0.0,2.0,0.0,,,,,
2017-06-05,,2,0.0,2.0,0.0,,,,,
2017-06-12,,1,0.0,1.0,0.0,,,,,
2017-06-19,,2,0.0,2.0,0.0,,,,,
2017-06-26,1.0,3,0.0,3.0,0.0,,,,,0.0
2017-07-03,,1,0.0,1.0,0.0,,,,,
2017-07-10,,4,0.0,4.0,0.0,,,,,
2017-07-17,,1,0.0,1.0,0.0,,,,,
2017-07-24,1.0,4,3.0,1.0,0.0,,3.0,4.0,1.0,0.0
2017-07-31,,1,0.0,1.0,0.0,,,,,
2017-08-07,,1,0.0,1.0,0.0,,,,,
2017-08-14,,1,0.0,1.0,0.0,,,,,
2017-08-21,,5,3.0,2.0,0.0,,3.0,1.0,0.0,
2017-08-28,1.0,9,0.0,9.0,0.0,,,,,1.0
2017-09-04,1.0,12,0.0,12.0,0.0,,,,,1.0
2017-09-11,,3,0.0,3.0,0.0,,,,,
2017-09-18,,3,0.0,3.0,0.0,,,,,
2017-09-25,1.0,2,0.0,2.0,0.0,,,,,1.0
2017-10-02,1.0,3,0.0,3.0,0.0,,,,,0.0
2017-10-09,1.0,3,0.0,3.0,0.0,,,,,1.0
2017-10-16,,1,0.0,1.0,0.0,,,,,
2017-10-23,,1,0.0,1.0,0.0,,,,,
2017-10-30,1.0,7,0.0,7.0,0.0,,,,,0.0
2017-11-06,,2,0.0,2.0,0.0,,,,,
