platform,date,mentions
google_reviews,2017-07-29,3
google_reviews,2017-08-25,3
google_reviews,2018-04-26,1
google_reviews,2018-07-12,1
google_reviews,2018-08-30,1
google_reviews,2018-11-10,3
google_reviews,2019-04-11,2
google_reviews,2019-06-01,1
google_reviews,2019-06-11,1
google_reviews,2019-06-26,3
google_reviews,2019-11-14,2
google_reviews,2020-03-24,1
google_reviews,2020-07-11,3
google_reviews,2020-09-11,3
google_reviews,2021-01-02,1
google_reviews,2022-04-30,1
google_reviews,2022-05-02,1
google_reviews,2022-09-03,1
google_reviews,2022-09-08,1
google_reviews,2022-09-22,1
google_reviews,2022-10-06,1
google_reviews,2022-10-12,1
google_reviews,2022-10-18,1
google_reviews,2022-12-01,1
google_reviews,2023-01-14,1
google_reviews,2023-02-24,1
google_reviews,2023-03-26,1
google_reviews,2023-04-18,1
google_reviews,2023-07-13,2
google_reviews,2023-07-14,1
google_reviews,2023-07-22,1
google_reviews,2023-07-26,1
google_reviews,2023-08-03,1
google_reviews,2023-09-12,1
google_reviews,2023-09-27,1
google_reviews,2023-10-26,1
google_reviews,2023-11-19,1
google_reviews,2023-12-04,1
google_reviews,2024-01-27,1
google_reviews,2024-02-10,1
google_reviews,2024-03-02,2
google_reviews,2024-03-27,1
google_reviews,2024-04-01,5
google_reviews,2024-04-07,1
google_reviews,2024-04-10,1
google_reviews,2024-04-15,1
google_reviews,2024-04-23,1
google_reviews,2024-05-16,1
google_reviews,2024-05-17,1
google_reviews,2024-06-21,1
google_reviews,2024-06-27,1
google_reviews,2024-07-04,3
google_reviews,2024-07-20,1
google_reviews,2024-07-29,1
google_reviews,2024-08-02,1
google_reviews,2024-08-03,1
google_reviews,2024-08-12,3
google_reviews,2024-08-15,1
google_reviews,2024-08-28,1
google_reviews,2024-09-04,1
google_reviews,2024-09-08,1
google_reviews,2024-09-10,2
google_reviews,2024-09-25,1
google_reviews,2024-09-27,2
google_reviews,2024-10-05,3
google_reviews,2024-10-06,4
google_reviews,2024-11-04,5
google_reviews,2024-11-07,1
google_reviews,2024-11-23,1
google_reviews,2024-11-24,1
google_reviews,2024-12-01,3
google_reviews,2024-12-19,3
google_reviews,2024-12-23,1
google_reviews,2024-12-24,1
google_reviews,2025-01-04,1
google_reviews,2025-01-07,1
google_reviews,2025-01-10,3
google_reviews,2025-01-12,2
google_reviews,2025-01-16,3
google_reviews,2025-01-24,4
google_reviews,2025-02-01,1
google_reviews,2025-02-04,2
google_reviews,2025-02-07,1
google_reviews,2025-02-11,1
google_reviews,2025-02-12,2
google_reviews,2025-02-14,1
google_reviews,2025-02-16,1
google_reviews,2025-02-17,2
google_reviews,2025-02-19,1
google_reviews,2025-02-21,2
google_reviews,2025-02-22,5
google_reviews,2025-02-24,1
google_reviews,2025-03-02,3
google_reviews,2025-03-05,1
google_reviews,2025-03-06,1
google_reviews,2025-03-07,4
google_reviews,2025-03-10,3
google_reviews,2025-03-11,1
google_reviews,2025-03-12,3
google_reviews,2025-03-13,3
google_reviews,2025-03-15,2
google_reviews,2025-03-17,4
google_reviews,2025-03-18,1
google_reviews,2025-03-19,5
google_reviews,2025-03-20,3
google_reviews,2025-03-21,3
google_reviews,2025-03-22,2
google_reviews,2025-03-23,4
google_reviews,2025-03-25,3
google_reviews,2025-03-27,6
google_reviews,2025-03-29,5
google_reviews,2025-03-31,1
google_reviews,2025-04-01,4
google_reviews,2025-04-02,6
google_reviews,2025-04-03,7
google_reviews,2025-04-04,3
google_reviews,2025-04-05,4
google_reviews,2025-04-06,5
google_reviews,2025-04-08,2
google_reviews,2025-04-09,3
google_reviews,2025-04-11,4
google_reviews,2025-04-12,1
google_reviews,2025-04-13,1
google_reviews,2025-04-15,5
google_reviews,2025-04-16,8
google_reviews,2025-04-17,2
google_reviews,2025-04-19,6
google_reviews,2025-04-20,2
google_reviews,2025-04-22,5
google_reviews,2025-04-23,12
google_reviews,2025-04-24,5
google_reviews,2025-04-25,6
google_reviews,2025-04-27,3
google_reviews,2025-04-28,3
google_reviews,2025-04-29,2
google_reviews,2025-04-30,2
