platform,post_id,created_at,text,lang,author_id,author_username,author_name,likes,retweets,replies,quotes,conversation_id,source_query
x,1961899981834436608,2025-08-30T21:13:00.000Z,@PG10_FanactuFr @NeVar_27 @autohebdo il ne doit sa place qu'a Honda,fr,538949482,fragnite60,fragnite60,0,0,0,0,1961854259034525749,"(Honda OR ""Honda Moto"" OR ""Honda France"" OR ""Honda Moto France"" OR Transalp OR ""Africa Twin"" OR CB500X) lang:fr -is:retweet"
x,1961897174872052052,2025-08-30T21:01:51.000Z,@BullinLaur59128 @Doc_Rogno arrête les Africa Twin et les Nx500 sont tops,fr,1733438278559301633,edz_elsass,Elias 🇲🇨,0,0,0,0,1961714587251675525,"(Honda OR ""Honda Moto"" OR ""Honda France"" OR ""Honda Moto France"" OR Transalp OR ""Africa Twin"" OR CB500X) lang:fr -is:retweet"
x,1961893208314528163,2025-08-30T20:46:05.000Z,"Honda S600 Coupe, 1965  #Honda #Japan #ClassicCars https://t.co/eOnPiiLKdQ",fr,1944242980501508096,RyuTakahashi117,Bushido Ryu,0,0,0,0,1961893208314528163,"(Honda OR ""Honda Moto"" OR ""Honda France"" OR ""Honda Moto France"" OR Transalp OR ""Africa Twin"" OR CB500X) lang:fr -is:retweet"
x,1961888271161516393,2025-08-30T20:26:28.000Z,Mbappé est pas conscient qu’il a une Honda 250 dans les fesses ?,fr,1324522118642606080,WooJvh,‏ٌ,3,0,0,0,1961888271161516393,"(Honda OR ""Honda Moto"" OR ""Honda France"" OR ""Honda Moto France"" OR Transalp OR ""Africa Twin"" OR CB500X) lang:fr -is:retweet"
x,1961879623467245874,2025-08-30T19:52:06.000Z,Comment est-ce qu’on veut avancer quand le mec qui dirige l’écurie dit qu’on est à « égalité avec McLaren » ?   Il est temps de partir vieux père. Merci pour le RBJT. Merci pour le deal avec Honda. Mais casse toi maintenant🙏 https://t.co/9lSgFmdVbQ,fr,1450213905100414981,redbullf1france,#WachéOUT,21,1,1,0,1961879623467245874,"(Honda OR ""Honda Moto"" OR ""Honda France"" OR ""Honda Moto France"" OR Transalp OR ""Africa Twin"" OR CB500X) lang:fr -is:retweet"
x,1961872589455843558,2025-08-30T19:24:09.000Z,"@3arbiInconito T'es parti avec quoi, cb500x ?",fr,1444050863312543744,ParadisOuEnfer,"Thomas, le mec qui parle tjrs de moto là",0,0,1,0,1961866513314443541,"(Honda OR ""Honda Moto"" OR ""Honda France"" OR ""Honda Moto France"" OR Transalp OR ""Africa Twin"" OR CB500X) lang:fr -is:retweet"
x,1961849061171933636,2025-08-30T17:50:40.000Z,@FrankPasLegault Jai présentement une honda fit 2008. Je veux qqchose de semblable ou qui ressemble à un utilitaire mais pas qui est ds le top 5 des plus volés,fr,1519012915503902720,Johanne2418,Jo Isa,0,0,0,0,1961628666666094602,"(Honda OR ""Honda Moto"" OR ""Honda France"" OR ""Honda Moto France"" OR Transalp OR ""Africa Twin"" OR CB500X) lang:fr -is:retweet"
x,1961842333760016737,2025-08-30T17:23:56.000Z,@ShutUpKaren14 Jai un honda et il a 17 ans et je peux compter les fois que jai dû aller au garage,fr,1519012915503902720,Johanne2418,Jo Isa,1,0,1,0,1961628666666094602,"(Honda OR ""Honda Moto"" OR ""Honda France"" OR ""Honda Moto France"" OR Transalp OR ""Africa Twin"" OR CB500X) lang:fr -is:retweet"
x,1961841923573817788,2025-08-30T17:22:18.000Z,"@Johanne2418 Pas vraiment, probablement plus que GM, mais le mien ne brise pas pour dire franchement. J'étais plus souvent au garage avec mon Honda.",fr,1540715011152269312,ShutUpKaren14,HorseGuy,1,0,1,0,1961628666666094602,"(Honda OR ""Honda Moto"" OR ""Honda France"" OR ""Honda Moto France"" OR Transalp OR ""Africa Twin"" OR CB500X) lang:fr -is:retweet"
x,1961840845616783798,2025-08-30T17:18:01.000Z,@Fabrice_LMAA Tout comme honda! Mais quel modèle jpourrais acheter sans me ruiner,fr,1519012915503902720,Johanne2418,Jo Isa,0,0,0,0,1961628666666094602,"(Honda OR ""Honda Moto"" OR ""Honda France"" OR ""Honda Moto France"" OR Transalp OR ""Africa Twin"" OR CB500X) lang:fr -is:retweet"
