source,target,weight,types,rating_avg,city
herek_blitaran,@herek_blitaran,2,ig_mention,,
hondaimorasentulofficial,@imorasentul,2,ig_mention,,
hondaimorasentulofficial,@hondajakartacenter,2,ig_mention,,
honda.aristagroup,@aristagroup.id,3,ig_mention,,
honda.aristagroup,@honda.aristagroup,2,ig_mention,,
malvinwsetiawan,@malvinwsetiawan,2,ig_mention,,
fathur_rahmanjavanic,@uncle.feb,2,ig_mention,,
fathur_rahmanjavanic,@unclefeb,2,ig_mention,,
yawsticker_,@fanchiindonesia,2,ig_mention,,
yawsticker_,@yawsticker_,2,ig_mention,,
jekyhondajakarta,@jekyhondajakarta,2,ig_mention,,
hondajakartacenter,@hondajakartacenter,2,ig_mention,,
rodaduaeveryday,@rodaduaeveryday,2,ig_mention,,
sunwichofjoy,@tokokopituku,2,ig_mention,,
elbenwheels_bekasi,@elbenwheelsgallery,2,ig_mention,,
elbenwheels_bekasi,@elbenwheels_bekasi,2,ig_mention,,
elbenwheels_bekasi,@elbenwheels_bandung,2,ig_mention,,
elbenwheels_bekasi,@elbenwheels.bogor,2,ig_mention,,
bringatrailer,@bringatrailer,3,ig_mention,,
_theyesboysofrbr_,@thommogetty,4,ig_mention,,
herris.saleshondamalang,@herris.saleshondamalang,2,ig_mention,,
jansensuropia,@acmobility.,2,ig_mention,,
summit_honda,@summithonda,2,ig_mention,,
hondatjm,@hondapartsjabar,4,ig_mention,,
hondatjm,@use.repost,2,ig_mention,,
hondatjm,@alwayshonda,2,ig_mention,,
hondatjm,@hondaahassjabar,2,ig_mention,,
hondatjm,@dayaautoapp,2,ig_mention,,
ahasssrikandimotor,@hondapartsjabar,4,ig_mention,,
ahasssrikandimotor,@alwayshonda,2,ig_mention,,
ahasssrikandimotor,@hondaahassjabar,2,ig_mention,,
ahasssrikandimotor,@dayaautoapp,2,ig_mention,,
hondapacificlippo,@hondapacificlippo,5,ig_mention,,
honda.astramotor.semarang,@honda.astramotor.semarang,3,ig_mention,,
honda.motor.semarang,@honda.motor.semarang,4,ig_mention,,
motor.honda.semarang,@motor.honda.semarang,2,ig_mention,,
ahass_shintamotorkarkob,@ahass_shintaabadimotor,2,ig_mention,,
ironcrafts_exhaust,@forsale_wey,2,ig_mention,,
bristol.dd1,@bristol.dd1,2,ig_mention,,
cihampelas_motor,@HONDA,3,ig_mention,,
futureridesemperio,@futureridesemperio,4,ig_mention,,
sagarmotors,@surajkalra,2,ig_mention,,
m.kperformance,@crsrace_fab,2,ig_mention,,
m.kperformance,@type_r.fanpage,2,ig_mention,,
m.kperformance,@hondatuning,2,ig_mention,,
m.kperformance,@ep2ep3turkey,2,ig_mention,,
